lead_train,lead_delay,target_train,target_delay,delta_time,station_code,target_delayed
12516,62,12508,82,20.0,KYQ,True
12516,62,12504,97,35.0,KYQ,True
12508,82,12504,97,15.0,KYQ,True
12520,48,05639,78,30.0,KYQ,True
05639,78,13181,72,54.0,KYQ,True
13181,72,15946,40,28.0,KYQ,True
12519,168,12503,472,4.0,KYQ,True
12509,326,15945,127,41.0,KYQ,True
12516,25,12508,46,21.0,LMG,True
12516,25,05639,13,48.0,LMG,True
12516,25,20503,17,52.0,LMG,True
12508,46,05639,13,27.0,LMG,True
12508,46,20503,17,31.0,LMG,True
12508,46,12423,35,49.0,LMG,True
05639,13,20503,17,4.0,LMG,True
05639,13,12423,35,22.0,LMG,True
20503,17,12423,35,18.0,LMG,True
15946,12,14619,66,54.0,LMG,True
15909,26,22502,36,10.0,LMG,True
05640,281,14620,336,55.0,LMG,True
12519,11,15647,22,11.0,LTT,True
15945,11,15647,22,11.0,LTT,True
12508,25,12516,45,20.0,MBG,True
12516,45,05639,27,42.0,MBG,True
15648,67,15945,88,21.0,MKA,True
15647,145,15946,49,24.0,MKA,True
22512,49,02501,73,24.0,MLDT,True
22512,49,02517,75,26.0,MLDT,True
02501,73,02517,75,2.0,MLDT,True
12346,46,02518,124,18.0,MLDT,True
12346,46,20501,44,58.0,MLDT,True
02518,124,20501,44,40.0,MLDT,True
15648,58,13182,29,31.0,MLDT,True
15648,58,12504,117,59.0,MLDT,True
13182,29,12504,117,28.0,MLDT,True
22502,43,12516,75,32.0,MLDT,True
12516,75,12508,113,38.0,MLDT,True
12508,113,15630,92,39.0,MLDT,True
05639,150,22501,231,21.0,MLDT,True
22501,231,12503,402,51.0,MLDT,True
12509,186,12515,158,32.0,MLDT,True
15960,39,15647,84,45.0,MLDT,True
15647,84,12507,314,50.0,MLDT,True
15945,20,15647,37,17.0,MMR,True
15647,37,12519,33,56.0,MMR,True
15946,12,20503,16,4.0,MXN,True
15946,12,12423,21,9.0,MXN,True
20503,16,12423,21,5.0,MXN,True
02502,18,12520,26,8.0,MYD,True
12519,105,15945,93,48.0,MZP,True
22512,23,22449,18,55.0,NBQ,True
22449,18,12346,32,14.0,NBQ,True
22449,18,02518,42,24.0,NBQ,True
12346,32,02518,42,10.0,NBQ,True
12510,55,15648,74,19.0,NBQ,True
12510,55,14037,18,23.0,NBQ,True
15648,74,14037,18,4.0,NBQ,True
13182,27,20503,25,58.0,NBQ,True
20503,25,02502,74,49.0,NBQ,True
20503,25,12504,81,56.0,NBQ,True
02502,74,12504,81,7.0,NBQ,True
02502,74,12423,44,30.0,NBQ,True
02502,74,13181,44,30.0,NBQ,True
12504,81,12423,44,23.0,NBQ,True
12504,81,13181,44,23.0,NBQ,True
12423,44,15630,104,60.0,NBQ,True
13181,44,15630,104,60.0,NBQ,True
14038,229,14619,56,7.0,NBQ,True
14038,229,22450,179,10.0,NBQ,True
14038,229,12516,69,20.0,NBQ,True
14038,229,05639,83,34.0,NBQ,True
